Block_16_IP_10_RDO_1
COEFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
313004,75688,7584,450,
251222,36648,2545,396,
247312,34404,2687,396,
230013,29238,2124,414,
247015,30853,2291,426,
249701,33262,2252,402,
200581,24249,2054,408,
256813,29860,1858,414,
240482,28862,2044,396,
255347,33021,2224,414,

MDIFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
730,752,766,504,
1968,2448,1244,1476,
2050,2402,1240,1508,
1970,2220,1234,1508,
2006,2318,1236,1490,
1968,2324,1238,1452,
1782,2050,1234,1384,
1976,2338,1236,1290,
1846,2152,1236,1264,
1938,2342,1242,1278,

PSNR
QP = 1,QP = 4,QP = 7,QP = 10,
33.708862,29.964457,24.756714,16.780685,
33.058338,30.014275,24.992212,16.756670,
33.038017,29.728592,25.084234,16.714199,
32.939011,29.379181,25.038883,16.712069,
32.670891,29.534590,25.002716,16.536999,
32.728233,29.393490,24.732071,16.316706,
32.909054,29.467676,24.658348,16.303715,
32.958599,29.515102,24.510826,16.148363,
32.545330,29.429565,24.561268,16.102837,
32.920837,29.816147,24.712976,16.184439,

RUN_TIME
QP = 1,QP = 4,QP = 7,QP = 10,
81.76,80.89,78.92,79.60,
