Block_8_IP_4_RDO_0
COEFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
423684,121766,17584,1830,
356980,72181,3858,1584,
354217,71295,3612,1620,
341384,64784,3780,1584,
421211,123026,17092,1893,
345204,69125,3158,1584,
300421,50115,2785,1584,
364634,68088,2734,1590,
426223,124344,17432,1845,
344455,65547,3514,1595,

MDIFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
2948,3020,2778,2080,
8498,10020,11892,7894,
8746,9646,11652,7820,
7866,8874,11310,7710,
2966,2922,2788,2014,
8158,9808,11768,7892,
7406,8906,11412,7700,
8706,9664,11036,7642,
2950,2962,2762,1998,
7754,9532,11852,7568,

PSNR
QP = 0,QP = 3,QP = 6,QP = 9,
37.880039,31.187199,26.361538,18.360361,
37.822735,31.535202,27.916714,18.989090,
37.798752,31.604729,27.976347,19.427372,
38.061966,31.513731,28.016466,19.733919,
38.451855,30.716206,26.849035,18.749441,
38.383976,31.301733,27.921131,19.761944,
37.838028,31.367823,27.987970,20.346607,
37.770996,31.705606,28.077217,20.739407,
38.733326,31.629612,26.810925,18.297741,
38.685993,31.530636,27.524727,18.978945,

RUN_TIME
QP = 0,QP = 3,QP = 6,QP = 9,
24.42,24.33,23.54,27.61,
